full_text,tokens,processed_text
implementasi pendidikan berbasis hasil obe di politeknik elektronika negeri surabaya meningkatkan employability lulusan hingga 40 persen,"['implementasi', 'didik', 'basis', 'hasil', 'obe', 'politeknik', 'elektronika', 'negeri', 'surabaya', 'tingkat', 'employability', 'lulus', '40', 'persen']",implementasi didik basis hasil obe politeknik elektronika negeri surabaya tingkat employability lulus 40 persen
ketua program studi teknik sipil unhas menyampaikan tantangan terbesar dalam penerapan obe adalah perubahan mindset,"['ketua', 'program', 'studi', 'teknik', 'sipil', 'unhas', 'tantang', 'besar', 'terap', 'obe', 'ubah', 'mindset']",ketua program studi teknik sipil unhas tantang besar terap obe ubah mindset
lapbdp ums menyelenggarakan workshop penyusunan kurikulum berbasis hasil untuk semua program studi pada april 2025,"['lapbdp', 'ums', 'selenggara', 'workshop', 'susun', 'kurikulum', 'basis', 'hasil', 'program', 'studi', 'april', '2025']",lapbdp ums selenggara workshop susun kurikulum basis hasil program studi april 2025
wakil rektor akademik unair menyatakan obe telah meningkatkan signifikansi riset terapan mahasiswa dengan kebutuhan industri,"['wakil', 'rektor', 'akademik', 'unair', 'obe', 'tingkat', 'signifikansi', 'riset', 'terap', 'mahasiswa', 'butuh', 'industri']",wakil rektor akademik unair obe tingkat signifikansi riset terap mahasiswa butuh industri
pusat pengembangan pendidikan universitas jember mengadakan pelatihan obe bagi dosen dengan pemateri dari australia,"['pusat', 'kembang', 'didik', 'universitas', 'jember', 'ada', 'latih', 'obe', 'dosen', 'materi', 'australia']",pusat kembang didik universitas jember ada latih obe dosen materi australia
aabim mengadakan diskusi panel tentang integrasi nilai islam dalam kurikulum berbasis hasil di perguruan tinggi muhammadiyah,"['aabim', 'ada', 'diskusi', 'panel', 'integrasi', 'nilai', 'islam', 'kurikulum', 'basis', 'hasil', 'guru', 'muhammadiyah']",aabim ada diskusi panel integrasi nilai islam kurikulum basis hasil guru muhammadiyah
reakreditasi program studi teknik mesin itb dengan abet memvalidasi efektivitas implementasi kurikulum berbasis hasil,"['reakreditasi', 'program', 'studi', 'teknik', 'mesin', 'itb', 'abet', 'memvalidasi', 'efektivitas', 'implementasi', 'kurikulum', 'basis', 'hasil']",reakreditasi program studi teknik mesin itb abet memvalidasi efektivitas implementasi kurikulum basis hasil
dekan fakultas farmasi ugm menyoroti pentingnya peranan industri dalam menentukan kompetensi lulusan berbasis obe,"['dekan', 'fakultas', 'farmasi', 'ugm', 'sorot', 'peran', 'industri', 'tentu', 'kompetensi', 'lulus', 'basis', 'obe']",dekan fakultas farmasi ugm sorot peran industri tentu kompetensi lulus basis obe
program diploma teknik elektro pens menerapkan kurikulum berbasis hasil dengan dukungan penuh dari pt pln nusantara power,"['program', 'diploma', 'teknik', 'elektro', 'pens', 'terap', 'kurikulum', 'basis', 'hasil', 'dukung', 'penuh', 'pt', 'pln', 'nusantara', 'power']",program diploma teknik elektro pens terap kurikulum basis hasil dukung penuh pt pln nusantara power
tridharma learning center mengembangkan platform digital untuk monitoring dan evaluasi implementasi obe di perguruan tinggi,"['tridharma', 'learning', 'center', 'kembang', 'platform', 'digital', 'monitoring', 'evaluasi', 'implementasi', 'obe', 'guru']",tridharma learning center kembang platform digital monitoring evaluasi implementasi obe guru
